DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,1,5,10,2,438,79.64,-19.19,-8.17,1,0,8,4,8,0,0,30495,40,1,390.61,3,0,0
1,7,13,0,1,0,0,0,0,2,3,8,4,7,0,0,0,1,1,0,7,0,0
1,4,13,0,1,0,0,0,0,2,3,8,4,9,0,0,0,1,1,20,10,0,0
1,9,13,0,1,0,0,0,0,2,3,8,4,8,0,3,0,1,1,0,5,0,0
1,10,0,0,1,250,0,0,0,1,0,11,6,8,3,0,12421,2,1,0,3,0,1
1,14,13,0,2,0,24910.12,106.025,33.527,2,3,8,19,1,0,0,0,4,1,361.4,10,1,0
1,14,17,30,1,0,0,0,0,8,9,8,19,8,0,0,952,3,1,3.33,10,0,1
1,4,4,10,1,0,0,0,0,2,3,8,4,8,0,0,30495,2,1,8836.31,0,1,0
1,10,0,0,2,5,228761.95,86,28.176,1,0,0,14,8,1,0,12421,0,6,0,6,0,1
1,9,19,64,2,31,4525.44,88.309,28.81,4,5,4,15,8,2,0,1207,12,1,6893.5,3,0,1
1,13,18,46,2,0,3868.15,296.021,73.415,8,9,8,6,6,0,0,659,0,6,0,6,0,1
1,9,15,6,2,0,53377.31,-11.486,-4.763,8,9,0,12,8,0,0,579,0,6,0,6,0,1
1,13,17,30,2,0,8211,145.75,43.285,6,6,3,11,2,2,1,952,4,4,927.5,3,0,1
1,1,5,10,2,0,90.38,-98.891,-83.47,1,0,8,19,8,0,0,30495,4,1,38.7,3,0,0
1,9,13,0,2,0,53377.31,-11.486,-4.763,2,3,7,2,8,0,0,0,2,1,94200,0,1,0
1,9,19,64,2,0,202097,169.431,48.655,8,3,4,14,8,0,0,1207,3,1,12198.75,3,1,1
1,7,12,140,2,0,90,-59.179,-30.12,2,3,8,19,6,0,0,180963,3,1,264.5,3,0,0
1,14,16,14,1,0,0,0,0,2,3,8,4,6,0,0,2772,0,6,0,6,0,0
